Andhra Pradesh[edit source | editbeta],
14,Bulandshahr
15,Aligarh
16,Hathras
17,Mathura
18,Agra
19,Fatehpur Sikri
20,Firozabad
21,Mainpuri
22,Etah
23,Badaun
24,Aonla
25,Bareilly
26,Pilibhit
27,Shahjahanpur
28,Kheri
29,Dhaurahra
30,Sitapur
31,Hardoi
32,Misrikh
33,Unnao
34,Mohanlalganj
35,Lucknow
36,Rae Bareli
37,Amethi
38,Sultanpur
39,Pratapgarh
40,Farrukhabad
41,Etawah
42,Kannauj
43,Kanpur Urban
44,Kanpur Rural
45,Jalaun
46,Jhansi
47,Hamirpur
48,Banda
49,Fatehpur
50,Kaushambi
51,Phulpur
52,Allahabad
53,Barabanki
54,Faizabad
55,Ambedkar Nagar
56,Bahraich
57,Kaiserganj
58,Shrawasti
59,Gonda
60,Domariyaganj
61,Basti
62,Sant Kabir Nagar
63,Maharajganj
64,Gorakhpur
65,Kushi Nagar
66,Deoria
67,Bansgaon
68,Lalganj
69,Azamgarh
70,Ghosi
71,Salempur
72,Ballia
73,Jaunpur
74,Machhlishahr
75,Ghazipur
76,Chandauli
77,Varanasi
78,Bhadohi
79,Mirzapur
80,Robertsganj
West Bengal[edit source | editbeta],
Parliamentary constituency,Past (pre-delimitation)[11]
1,Cooch Behar
2,Alipurduars
3,Jalpaiguri
4,Darjeeling
5,Raiganj
6,Balurghat
7,Maldaha Uttar
8,Maldaha Dakshin
9,Jangipur
10,Baharampur
11,Murshidabad
12,Krishnanagar
13,Ranaghat
14,Bangaon
15,Barrackpur
16,Dum Dum
17,Barasat
18,Basirhat
19,Jaynagar
20,Mathurapur
21,Diamond Harbour
22,Jadavpur
23,Kolkata Dakshin
24,Kolkata Uttar
25,Howrah
26,Uluberia
27,Sreerampur
28,Hooghly
29,Arambag
30,Tamluk
31,Kanthi
32,Ghatal
33,Jhargram
34,Medinipur
35,Purulia
36,Bankura
37,Bishnupur
38,Bardhaman Purba
39,Bardhaman-Durgapur
40,Asansol
41,Bolpur
42,Birbhum
Delhi[edit source | editbeta],
1,Chandni Chowk
2,North East Delhi
3,East Delhi
4,New Delhi
5,North West Delhi
6,West Delhi
7,South Delhi
